"id","from","to"
"00","GKA","NIT"
"01","GKA","LMM"
"02","GKA","ИКУ"
"03","GKA","RDD"
"04","GKA","MMD"
"05","GKA","LWN"
"06","GKA","LGG"
"07","GKA","BJO"
"08","GKA","MGJ"
"09","GKA","BPF"
"013","GKA","PMB"
"014","GKA","CVM"
"015","GKA","MKU"
"016","GKA","MSA"
"018","GKA","ADE"
"019","GKA","ROP"
"022","GKA","GHE"
"023","GKA","YCC"
"024","GKA","KTP"
"026","GKA","SBP"
"027","GKA","TUB"
"028","GKA","RLG"
"031","GKA","AKP"
"033","GKA","YPM"
"034","GKA","BQB"
"035","GKA","BTO"
"036","GKA","PBL"
"039","GKA","PRV"
"042","GKA","MLC"
"043","GKA","JAF"
"044","GKA","YGM"
"045","GKA","CYU"
"046","GKA","ATT"
"048","GKA","OPU"
"049","GKA","PMR"
"050","GKA","MOF"
"051","GKA","ONQ"
"052","GKA","CXP"
"054","GKA","OCV"
"055","GKA","SSN"
"057","GKA","TUL"
"060","GKA","SEN"
"063","GKA","SJJ"
"064","GKA","MAH"
"065","GKA","POA"
"066","GKA","THD"
"070","GKA","CBT"
"072","GKA","UDJ"
"073","GKA","MXX"
"076","GKA","YHS"
"078","GKA","TMK"
"079","GKA","MPA"
"080","GKA","CDG"
"082","GKA","LSQ"
"083","GKA","MGB"
"084","GKA","SCV"
"085","GKA","CAG"
"087","GKA","PRV"
"088","GKA","FDY"
"089","GKA","KHC"
"091","GKA","TRV"
"092","GKA","WAW"
"093","GKA","TGZ"
"095","GKA","VKT"
"096","GKA","LAU"
"097","GKA","FRA"
"098","GKA","EYP"
"099","GKA","IPT"
"10","MAG","MKM"
"11","MAG","CDI"
"12","MAG","MHU"
"14","MAG","MRS"
"15","MAG","YZR"
"16","MAG","KLD"
"18","MAG","JAQ"
"19","MAG","CMK"
"110","MAG","NFO"
"111","MAG","PKZ"
"113","MAG","CYF"
"114","MAG","CHY"
"116","MAG","BGK"
"117","MAG","TCE"
"119","MAG","MWQ"
"120","MAG","YWP"
"121","MAG","UMD"
"122","MAG","SKZ"
"123","MAG","FAO"
"124","MAG","AAE"
"125","MAG","POW"
"127","MAG","LWS"
"128","MAG","DIU"
"129","MAG","BAV"
"131","MAG","LYR"
"132","MAG","PJG"
"133","MAG","FSI"
"134","MAG","RLO"
"135","MAG","SRE"
"136","MAG","TPE"
"138","MAG","TIP"
"139","MAG","CHG"
"140","MAG","GNT"
"145","MAG","PIR"
"146","MAG","OOL"
"147","MAG","SBY"
"149","MAG","ERN"
"150","MAG","BIX"
"152","MAG","6J4"
"153","MAG","ISU"
"154","MAG","WKK"
"155","MAG","OMO"
"156","MAG","YYQ"
"157","MAG","UTW"
"159","MAG","KRK"
"160","MAG","ITH"
"161","MAG","KAX"
"162","MAG","FSZ"
"164","MAG","WDR"
"165","MAG","PEE"
"166","MAG","BCW"
"167","MAG","EVW"
"170","MAG","NVK"
"171","MAG","LKL"
"173","MAG","HSK"
"174","MAG","CHO"
"175","MAG","ARD"
"176","MAG","SCN"
"179","MAG","ODE"
"181","MAG","RKS"
"182","MAG","JSI"
"183","MAG","YHM"
"184","MAG","NYO"
"186","MAG","MDE"
"187","MAG","ZNV"
"188","MAG","YAM"
"190","MAG","MIK"
"191","MAG","YMA"
"193","MAG","EQS"
"194","MAG","OIA"
"195","MAG","TSR"
"196","MAG","SWT"
"199","MAG","YCU"
"22","HGU","IWD"
"23","HGU","QRH"
"24","HGU","PBF"
"28","HGU","PPN"
"29","HGU","AOC"
"211","HGU","YNY"
"213","HGU","GUW"
"214","HGU","HKN"
"215","HGU","LNE"
"216","HGU","PIO"
"217","HGU","CNI"
"218","HGU","HHN"
"219","HGU","OKA"
"220","HGU","NTU"
"224","HGU","ZAQ"
"225","HGU","GRW"
"226","HGU","SSX"
"228","HGU","ENW"
"229","HGU","BNY"
"230","HGU","YSD"
"231","HGU","GAN"
"232","HGU","QDU"
"233","HGU","GZA"
"234","HGU","KNH"
"235","HGU","GAU"
"236","HGU","AGH"
"238","HGU","XYD"
"239","HGU","XDB"
"241","HGU","DWH"
"242","HGU","YXP"
"244","HGU","HUL"
"245","HGU","NYC"
"246","HGU","LWB"
"247","HGU","YMH"
"248","HGU","UAQ"
"249","HGU","CEQ"
"250","HGU","KYZ"
"252","HGU","DLE"
"254","HGU","BTT"
"255","HGU","YMX"
"256","HGU","GTR"
"257","HGU","JUI"
"258","HGU","JHG"
"259","HGU","PES"
"260","HGU","IUD"
"261","HGU","JNX"
"262","HGU","BFP"
"265","HGU","FZO"
"267","HGU","VTS"
"271","HGU","SZL"
"272","HGU","KKA"
"273","HGU","BEG"
"274","HGU","GRQ"
"275","HGU","INS"
"277","HGU","ARR"
"278","HGU","MTR"
"280","HGU","LAU"
"282","HGU","PUJ"
"284","HGU","YPY"
"285","HGU","SLH"
"286","HGU","X01"
"287","HGU","YCG"
"288","HGU","RIL"
"291","HGU","NUS"
"292","HGU","KNP"
"294","HGU","UJE"
"295","HGU","YFX"
